陀螺X(弧度),陀螺Y(弧度),陀螺Z(弧度),加速度X(mg),加速度Y(mg),加速度Z(mg),滚动角(度),俯仰角(度),航向角(度)
-0.23872,0.93920,0.00035,368.28960,-57.38319,-974.93910,1.74323,20.17137,74.96423
-0.23872,0.93920,0.00035,368.28960,-57.38319,-974.93910,1.74323,20.17137,74.96423
-0.19341,0.94150,0.00108,365.36680,-47.21152,-977.87060,1.44044,20.06213,74.95464
-0.19341,0.94150,0.00108,365.36680,-47.21152,-977.87060,1.44044,20.06213,74.95464
-0.15339,-0.04469,0.00000,364.44690,-39.30661,-979.14630,1.22939,20.03391,74.89380
-0.15339,-0.04469,0.00000,364.44690,-39.30661,-979.14630,1.22939,20.03391,74.89380
-0.12043,0.00000,-0.00099,362.32810,-32.75788,-980.28960,1.05942,19.97089,74.80717
-0.12043,0.00000,-0.00099,362.32810,-32.75788,-980.28960,1.05942,19.97089,74.80717
-0.12043,0.00000,-0.00099,362.32810,-32.75788,-980.28960,1.05942,19.97089,74.80717
-0.10878,-0.03159,0.00086,362.51900,-28.92595,-981.17890,0.85831,19.93449,74.78577
-0.10878,-0.03159,0.00086,362.51900,-28.92595,-981.17890,0.85831,19.93449,74.78577
-0.10878,0.00000,0.00086,362.51900,-28.92595,-981.17890,0.85831,19.93449,74.78577
-0.09212,-0.02865,0.00028,360.13650,-23.46258,-981.71150,0.66908,19.84921,74.75940
-0.09212,-0.02865,0.00028,360.13650,-23.46258,-981.71150,0.66908,19.84921,74.75940
-0.08415,0.00000,0.00017,357.16280,-19.98340,-981.51760,0.49663,19.74916,74.74752
-0.08415,0.00000,0.00017,357.16280,-19.98340,-981.51760,0.49663,19.74916,74.74752
-0.07340,-0.02613,0.00071,356.31600,-17.31910,-980.72360,0.37834,19.69704,74.75077
-0.07340,-0.02613,0.00071,356.31600,-17.31910,-980.72360,0.37834,19.69704,74.75077
-0.06759,-0.02559,0.00022,355.04750,-12.02670,-979.37130,0.16104,19.62152,74.75035
-0.06759,-0.02559,0.00022,355.04750,-12.02670,-979.37130,0.16104,19.62152,74.75035
-0.06759,0.00000,0.00022,355.04750,-12.02670,-979.37130,0.16104,19.62152,74.75035
-0.06529,-0.02815,0.00008,354.07900,-10.05080,-980.98540,-0.00237,19.51695,74.71860
-0.06529,-0.02815,0.00008,354.07900,-10.05080,-980.98540,-0.00237,19.51695,74.71860
-0.06529,0.00000,0.00008,354.07900,-10.05080,-980.98540,-0.00237,19.51695,74.71860
-0.06194,-0.02845,0.00209,352.78640,-5.92782,-980.14610,-0.14941,19.46045,74.72682
-0.06194,0.00000,0.00209,352.78640,-5.92782,-980.14610,-0.14941,19.46045,74.72682
-0.06321,-0.03378,0.00088,352.03680,-3.75147,-982.28300,-0.33099,19.32579,74.74087
-0.06321,0.97350,0.00088,352.03680,-3.75147,-982.28300,-0.33099,19.32579,74.74087
-0.07194,-0.04488,0.00073,351.35610,-1.45638,-984.21340,-0.56126,19.14791,74.71896
